polymerid	UniProt
1	P03176
5	P22629
8	D6JGS5
9	P00709
10	P00974
11	P61823
12	P05231
13	P12931
15	P00698
18	P00700
22	P17897
33	Q9Z4N8
34	P51608
39	Q9SSQ9
40	P93733
41	P47712
49	P04526
50	P04527
52	P62993
59	P0ABE7
72	P00703
87	P01584
104	P29466
106	P49662
110	P78536
111	P03956
112	P08253
114	P08254
118	P55210
120	P55212
122	P51878
124	Q14790
129	P42575
131	P07511
160	Q8AFU8,C6G7Q7,A3FHG7
176	Q16531
177	P00760
187	P05412
188	P04626
232	P09874
233	O88554
236	P04058
238	P08962
239	P04585
240	P49768
241	Q99538
242	P47871
254	Q9N1N9
255	Q28153
256	P38919
257	Q32TF5
258	Q14240
259	Q7Z478
260	O75643
267	P60010
287	P9WMK9
288	P51587
290	Q8R2Y2
291	Q9Y4E8
295	P04141
296	Q14676
297	P10147
298	P13236
308	P04578
319	P60022
322	O15263
325	P37288
326	P30518
327	P10747
328	P07766
334	P00734
335	Q63644
336	P03952
337	Q62868
338	Q6PHU5
339	Q9Y5Z0
341	Q92952
342	P70604
344	P35498
345	P05305
346	Q9NY46
347	P35499
349	Q14721
354	O00519
356	P10635
358	Q9NRA0
359	P10721
362	Q07343
364	Q96RI0
365	O75907
366	P13866
367	P31639
369	P03372
370	Q92731
375	P27986
384	P21397
385	P27338
390	P31422
391	P20895
392	A9UEZ6
395	Q13164
396	Q9P0M2
397	O60603
402	P49682
406	P03138
410	C3W5S1
411	Q16552
412	Q96PD4
414	Q9GZX6
415	Q8TDX5
416	P52699
417	Q969J5
423	Q80J95
424	Q5GN09
427	P68403
431	Q96JD6
433	P12504
436	P25054
439	Q8NHM5
441	Q9Y2K7 I3VM53
442	A0A1R0MIV1
445	Q00495
448	P00517
451	P15260
452	Q99973
453	P53708
456	Q9Y698
457	A3M3H0
459	P27791
461	P18688
462	Q9UJ42
463	P26012
464	Q9QXM0
467	P36898
469	P15127
473	P34897
475	P48454
480	P26660
482	Q8WXS5
487	P04545
488	O14842
489	P35462
492	P06702
493	P08908
500	O75381
501	Q8IYB4
504	Q01860
507	P06239
508	P10415
513	P31749
520	P00533
522	P00521
527	P31751
528	Q9CAJ0
529	Q8VZS8
531	P04409
532	O80992
533	P12271
536	Q99700
537	Q16543
540	Q16518
543	Q28175
546	P02607
547	P11799
549	Q9NRY4
550	Q969M7
551	Q76R61
552	Q62879
554	Q5BJF2
555	P19099
557	P68431
559	P51965
562	Q5U3Y7
563	Q99504
564	P05185
566	P00516
568	P00189
575	P09619
585	P54253
599	P17252
600	P05771
602	P05129
603	Q05655
604	Q02156
605	P24723
606	Q05513
633	P05622
646	P00525
690	P17948 L7RSL3
692	P35968
694	P11362
704	P03472
751	Q6XUE4
752	P16207
753	P03468
754	P03474
756	Q9QMU3
759	P43403
763	P43405
771	Q9WPQ4
772	P06820
773	Q6DM53
778	P16199
786	P15206
796	P24941
799	P11802
800	P24385
802	P24864
804	P06493
805	P14635
808	Q02763
843	P20248
851	O08775
856	P21802
858	P06213
909	Q00534
920	P11275
922	P25322
923	P30285
941	Q06486
943	P63086
947	P18266
950	Q01043
951	Q15078
969	Q00535
984	P02666
986	Q16769
987	Q9CYK2
989	P46925
990	P39898
994	P51946
995	P50613
996	O60563
997	P50750
1001	P68400
1003	P49841
1017	P49840
1022	P15538
1024	P11511
1026	Q6GI75
1027	P44432
