chemical_cid,uniport_accession
753,P35916
24779724,P08581
115237,Q9Y5Y4
983,Q9NRJ5
70815,P11182
6726,Q9Y5Y4
8172,Q12888
68841,Q9GIY3
7339,P43490
11338033,Q9Y6R4
10250490,P00742
2740174,Q9UQ80
440552,Q9NRR6
888,Q04917
11213558,Q96L34
8060,Q9Y5K2
24864821,P08581
753,Q9Y468
1628,P54829
712421,Q03405
5289613,P14174
30819,P23467
3151,Q12809
888,Q9UM54
10313,P35354
447911,Q92753
5289469,P42892
3540,Q9Y6R4
5329102,Q9Y6R4
5330812,Q9Y6R4
23994,Q02543
888,Q01167
446504,P51512
23994,Q9Y3Y4
888,Q9Y6R4
15295578,Q9Y6R4
750,P22303
5329102,Q9UQM7
753,Q8N4E7
736104,Q9Y5K2
114683,P02788
10976469,Q13526
2995,Q01959
5327066,Q9Y6R4
753,P11413
3702,Q9Y2D0
24752844,Q86TI2
9926791,Q16513
2818,Q9Y5Y4
2120,Q04828
9926933,Q9Y6R4
176870,Q9Y2U5
5330812,Q05655
23994,Q9UI42
11314340,Q9Y6R4
28864,Q9Y5Y4
6436135,Q9Y5Y4
5287969,Q9Y6R4
5329102,Q9Y2U5
23994,Q9UGI8
23925,P69905
9994066,Q9Y6R4
5329102,P22607
4541,P31645
4748,Q9Y5Y4
753,Q9UI42
446845,P31930
5288834,Q9Y6R4
440552,Q15768
5327110,Q9Y6R4
888,Q9Y6Y9
10039403,Q9ULZ9
1935,Q9Y6A2
62156,Q9Y5Y4
216239,P35916
8172,P54652
5362422,Q9UJ71
5656,Q01959
4636204,Q9ULZ9
23994,P09237
753,Q92753
23994,P47224
11992146,Q9BZL6
23994,Q9Y3D2
42615254,P00734
867,Q9UI42
5329102,P51451
71360,Q9Y5Y4
6287,Q9UI42
888,Q9ULW5
4078,Q9Y5Y4
5957,P14625
753,P35225
6386,P62158
2247,Q9Y5Y4
25134265,Q9Y5Y4
753,Q8IWL1
24905153,P42338
156422,Q9Y6R4
6119,Q9Y5K2
753,P22830
23925,P12724
5494425,Q9Y6R4
24905142,Q5S007
448841,P08519
6106,P28838
4456,P22303
23994,Q92794
3062316,P51451
24905142,Q9Y6R4
11291932,Q9Y6F1
3100,Q9Y5Y4
5171,Q9Y6R4
9648,Q9Y5Y4
3492020,P50336
753,Q9UJ70
87901,P07686
9750,Q95365
5329103,P14616
4917,Q9Y5Y4
5326843,P13569
753,Q9Y6R4
24905152,P42338
447700,P42684
888,P12694
273,Q9Y2D0
5362422,P78536
115015,P02766
5430,O14521
2159,Q9Y5Y4
643975,Q709F0
5288834,Q9UBV7
5330812,Q96L34
23994,Q13490
5329103,P51451
888,Q9NVJ2
10172943,Q9Y6R4
3034285,P31930
123619,P35354
70815,Q8NBK3
16757525,Q9Y6R4
449014,P00813
9547935,P08574
447873,Q9Y6R4
1140,P22303
702,P81274
23994,Q9ULW5
3964,Q9Y5Y4
15991573,P35968
60961,Q9Y6R4
3198,P31645
445990,P53611
124886,Q9NS18
2585,Q9Y5Y4
448123,P00734
90263,Q9NP99
753,P12694
753,P35354
1053,Q8TD30
5957,Q6VAB6
119607,Q9Y2D0
2801,Q494W8
441314,P10253
6914629,P0DJD8
888,Q9ULW5
12374,Q13976
5330812,Q9Y6R4
445154,P02766
5287844,Q9Y6R4
5761,Q9Y5Y4
216239,Q9Y6R4
1175,P11217
445713,P53611
5330812,Q9UK32
679,Q92793
24762195,Q9Y6R4
668,P05062
6604229,Q9Y2D0
19910,P07858
4917,P31645
24864077,Q9Y6R4
753,P54652
23994,Q9BX84
2585,Q9Y5Y4
23994,Q9ULD4
5281855,P14616
753,Q95365
5353305,P08519
888,P00734
3034010,Q9Y4D2
753,Q8TF65
446752,Q86XF0
753,Q16772
2160,Q9Y5Y4
753,Q9UKV8
2995,P31645
456214,Q16288
33032,P49448
444108,Q86VZ2
449240,Q9Y6R4
4369380,P42892
4205,Q9Y5Y4
33032,P43005
216239,Q16832
449021,P29475
443884,Q9Y5Y4
753,Q9Y6A2
6419766,Q9Y6R4
9934347,P14616
888,P15309
888,Q99593
8064,Q6JVE9
440552,P16871
5753,Q92753
888,Q5T5U3
123631,Q15303
8172,Q99584
3696,Q9Y5Y4
753,Q99584
1140,P69905
46937053,O15530
8226,Q9Y5Y4
974,P40926
5288113,Q92753
888,Q9UII2
23994,Q14653
70815,Q9Y5K2
123831,Q9Y3Y4
5164,Q9Y6R4
888,O60271
5330812,P51451
5920,Q9Y5Y4
888,Q96DU7
23994,P27694
656986,P22303
888,P50479
11304412,Q9Y6R4
8172,Q9Y5K2
119031,P08253
5330812,Q9Y6R4
16122642,Q9Y6R4
446978,Q9Y5K2
77918,Q9NXS2
23994,Q08426
23994,Q14203
9600423,P00734
11213558,Q15046
4926,Q99720
439407,O95782
5289159,Q9Y2D0
72886,Q9ULD4
5329103,Q14289
446696,P27707
888,Q02880
679,P60174
753,Q9UG22
12560,Q12809
5362422,P51512
888,Q9UGP5
165323,Q9Y2D0
5327154,P54829
54746,Q9Y5Y4
2216,Q9Y5Y4
23994,P16333
66644,P35354
28864,Q9Y5Y4
5405,Q9Y5Y4
888,Q9NY33
387447,Q9Y5K2
5073,Q9Y5Y4
31275,Q9UJ71
23994,Q9NXS2
5004,Q9Y6R4
753,Q9Y5Y6
9547919,P54829
5356,Q9Y2D0
5288834,P28838
753,P16083
888,Q08116
44144383,Q9Y2D0
23400214,Q9Y6R4
5757,P03372
447077,Q9Y6R4
60149,Q9Y5Y4
5312137,Q14289
888,Q9NRR6
679,Q9BV79
5289214,Q08334
23994,Q9BYT8
4636,Q9Y5Y4
753,Q04609
23925,P18054
888,Q9UEW8
5754,Q99574
124886,Q16873
23994,O94972
753,Q12794
4095,P31645
