drugbank_id	name	atc_codes
DB00001	Lepirudin	B01AE02
DB00002	Cetuximab	L01XC06
DB00003	Dornase alfa	R05CB13
DB00004	Denileukin diftitox	L01XX29
DB00005	Etanercept	L04AB01
DB00006	Bivalirudin	B01AE06
DB00007	Leuprolide	L02AE51|L02AE02
DB00008	Peginterferon alfa-2a	L03AB11|L03AB61
DB00009	Alteplase	B01AD02|S01XA13
DB00010	Sermorelin	V04CD03|H01AC04
DB00011	Interferon alfa-n1	L03AB06
DB00012	Darbepoetin alfa	B03XA02
DB00013	Urokinase	B01AD04
DB00014	Goserelin	L02AE03
DB00015	Reteplase	B01AD07
DB00016	Erythropoietin	B03XA01
DB00017	Salmon calcitonin	H05BA01
DB00019	Pegfilgrastim	L03AA13
DB00020	Sargramostim	L03AA09
DB00022	Peginterferon alfa-2b	L03AB10|L03AB60
DB00023	Asparaginase Escherichia coli	L01XX02
DB00024	Thyrotropin alfa	H01AB01
DB00025	Antihemophilic factor, human recombinant	B02BD02
DB00026	Anakinra	L04AC03
DB00027	Gramicidin D	R02AB30
DB00029	Anistreplase	B01AD03
DB00030	Insulin human	A10AC01|A10AE01|A10AB01|A10AD01|A10AF01
DB00031	Tenecteplase	B01AD11
DB00032	Menotropins	G03GA02
DB00034	Interferon alfa-2a, Recombinant	L03AB04
DB00035	Desmopressin	H01BA02
DB00036	Coagulation factor VIIa Recombinant Human	B02BD08
DB00038	Oprelvekin	L03AC02
DB00039	Palifermin	V03AF08
DB00040	Glucagon	H04AA01
DB00041	Aldesleukin	L03AC01
DB00042	Botulinum Toxin Type B	M03AX01
DB00043	Omalizumab	R03DX05
DB00044	Lutropin alfa	G03GA07
DB00046	Insulin lispro	A10AC04|A10AB04|A10AD04
DB00047	Insulin glargine	A10AE54|A10AE04
DB00048	Collagenase clostridium histolyticum	D03BA02|M09AB02|D03BA52
DB00049	Rasburicase	V03AF07|M04AX01
DB00050	Cetrorelix	H01CC02
DB00051	Adalimumab	L04AB04
DB00052	Somatotropin	H01AC01
DB00053	Imiglucerase	A16AB02
DB00054	Abciximab	B01AC13
DB00055	Drotrecogin alfa	B01AD10
DB00056	Gemtuzumab ozogamicin	L01XC05
DB00057	Indium In-111 satumomab pendetide	V09IB02
DB00058	Alpha-1-proteinase inhibitor	B02AB02
DB00059	Pegaspargase	L01XX24
DB00060	Interferon beta-1a	L03AB07
DB00061	Pegademase	L03AX04
DB00063	Eptifibatide	B01AC16
DB00065	Infliximab	L04AB02
DB00066	Follitropin	G03GA06|G03GA10|G03GA05
DB00068	Interferon beta-1b	L03AB08
DB00069	Interferon alfacon-1	L03AB09
DB00071	Insulin pork	A10AC03|A10AB03|A10AE03|A10AD03
DB00072	Trastuzumab	L01XC03
DB00073	Rituximab	L01XC02
DB00074	Basiliximab	L04AC02
DB00075	Muromonab	L04AA02
DB00076	Digoxin Immune Fab (Ovine)	V03AB24
DB00078	Ibritumomab tiuxetan	V10XX02
DB00080	Daptomycin	J01XX09
DB00081	Tositumomab	V10XA53
DB00082	Pegvisomant	H01AX01
DB00083	Botulinum toxin type A	M03AX01
DB00085	Pancrelipase	A09AA02
DB00086	Streptokinase	B01AD01|B06AA55
DB00087	Alemtuzumab	L04AA34
DB00088	Alglucerase	A16AB01
DB00089	Capromab pendetide	V09IB04
DB00090	Laronidase	A16AB05
DB00091	Cyclosporine	L04AD01|S01XA18
DB00092	Alefacept	L04AA15
DB00094	Urofollitropin	G03GA04
DB00095	Efalizumab	L04AA21
DB00097	Choriogonadotropin alfa	G03GA08
DB00098	Antithymocyte immunoglobulin (rabbit)	L04AA04
DB00099	Filgrastim	L03AA02
DB00102	Becaplermin	D03AX06|A01AD08
DB00103	Agalsidase beta	A16AB04
DB00104	Octreotide	H01CB02
DB00105	Interferon alfa-2b	L03AB05
DB00106	Abarelix	L02BX01
DB00107	Oxytocin	G02AC01|H01BB02
DB00108	Natalizumab	L04AA23
DB00109	Enfuvirtide	J05AX07
DB00110	Palivizumab	J06BB16
DB00111	Daclizumab	L04AC01
DB00112	Bevacizumab	L01XC07
DB00113	Technetium Tc-99m arcitumomab	V09IA06
DB00114	Pyridoxal phosphate	A11HA06
DB00115	Cyanocobalamin	B03BA01|B03AE01|B03BA51
DB00118	Ademetionine	A16AA02
DB00121	Biotin	A11HA05
DB00123	L-Lysine	V03AF11|B05XB03
DB00125	Arginine	V03AF11|B05XB01
DB00126	Ascorbic acid	G01AD03|A11GA01|A11GB01|S01XA15
DB00129	Ornithine	A05BA06
DB00130	L-Glutamine	A16AA03
DB00134	Methionine	V03AB26
DB00136	Calcitriol	D05AX03|A11CC04
DB00140	Riboflavin	A11HA04|S01XA26
DB00142	Glutamic acid	A09AB01
DB00143	Glutathione	V03AB32
DB00145	Glycine	B05CX03
DB00146	Calcifediol	A11CC06
DB00150	Tryptophan	N06AX02
DB00152	Thiamine	A11DA01
DB00153	Ergocalciferol	A11CC01
DB00158	Folic acid	B03AE02|V04CX02|B03BB01|B03AE01|B03BB51
DB00162	Vitamin A	S01XA02|V04CB01|D10AD02|R01AX02|A11CA01
DB00165	Pyridoxine	J04AM08|A11HA02
DB00166	Lipoic acid	A16AX01
DB00169	Cholecalciferol	M05BB09|M05BX53|M05BB07|M05BB08|A11CC55|M05BB05|A11CC05|M05BB03|M05BB04
DB00170	Menadione	B02BA02
DB00175	Pravastatin	C10AA03|C10BA03|C10BX02
DB00176	Fluvoxamine	N06AB08
DB00177	Valsartan	C09DX05|C10BX10|C09DA03|C09CA03|C09DX02|C09DX01|C09DB08|C09DB01|C09DX04
DB00178	Ramipril	C09BX03|C10BX04|C10BX17|C09BB07|C10BX06|C09BB05|C09BA05|C09AA05
DB00179	Masoprocol	L01XX10
DB00180	Flunisolide	R01AD04|R03BA03
DB00181	Baclofen	M03BX01
DB00182	Amphetamine	N06BA01
DB00183	Pentagastrin	V04CG04
DB00184	Nicotine	N07BA01
DB00185	Cevimeline	N07AX03
DB00186	Lorazepam	N05BA56|N05BA06
DB00187	Esmolol	C07AB09
DB00188	Bortezomib	L01XX32
DB00189	Ethchlorvynol	N05CM08
DB00191	Phentermine	A08AA01
DB00193	Tramadol	N02AJ13|N02AJ14|N02AX02
DB00194	Vidarabine	J05AB03|S01AD06
DB00195	Betaxolol	S01ED02|C07AB05|S01ED52
DB00196	Fluconazole	J01RA07|J02AC01|D01AC15
DB00197	Troglitazone	A10BG01
DB00198	Oseltamivir	J05AH02
DB00199	Erythromycin	J01FA01|D10AF02|S01AA17|D10AF52
DB00200	Hydroxocobalamin	B03BA53|V03AB33|B03BA03
DB00201	Caffeine	R03DA20|V04CG30|N06BC01
DB00202	Succinylcholine	M03AB01
DB00203	Sildenafil	G01AE10|G04BE03
