chemical_cid,uniport_accession,score
208,O01498,0.925
208,Q965X6,0.925
174,H2KZ17,0.924
208,Q9N4M0,0.924
174,Q19848,0.921
208,Q21752,0.920
192,P41877,0.919
197,P48996,0.917
174,Q95Y80,0.916
929,Q20140,0.916
736,Q9XVJ3,0.915
929,G5ECU5,0.913
1117,P52011,0.913
929,O45246,0.913
929,P09446,0.913
1117,P52015,0.912
645,P34409,0.912
929,Q9XXD0,0.911
703,Q9XWF1,0.911
701,Q23320,0.910
899,O16247,0.910
929,Q9U3K2,0.910
736,B1GRK5,0.909
1117,Q95QC4,0.909
1117,Q18211,0.909
736,Q21703,0.908
701,Q22352,0.906
192,G5EDF5,0.906
192,G5ECM6,0.904
240,Q18217,0.904
208,Q9N3S8,0.903
192,G4SNS6,0.903
701,Q17568,0.903
701,P91020,0.902
1172,Q93341,0.901
187,Q19849,0.901
1177,H2KZ19,0.901
447,Q18217,0.901
701,P91997,0.900
158,Q9XWF1,0.900
1117,H2KYX3,0.900
1336,Q9N5U1,0.900
107,Q21029,0.900
899,O01591,0.899
451,G5ECM4,0.899
451,O02482,0.899
1172,Q95PY8,0.899
197,Q8WQB3,0.899
470,G5EF77,0.899
244,Q19579,0.899
424,Q21053,0.899
487,Q22137,0.898
1172,P91427,0.897
263,Q20221,0.897
263,Q21693,0.897
175,P52018,0.897
701,Q09632,0.897
564,O61847,0.897
929,Q9XVJ3,0.897
451,Q95XN2,0.896
619,H2KZY5,0.896
441,P52018,0.896
617,Q21053,0.895
614,Q19523,0.895
865,Q9U2D0,0.895
701,Q18483,0.895
205,Q95Q25,0.894
1821,O17919,0.894
469,P34638,0.894
264,P91402,0.894
806,O01991,0.894
158,Q22101,0.893
614,Q9U9J8,0.893
617,P92186,0.893
179,P41958,0.892
421,Q9XWF1,0.892
158,G5EE80,0.892
865,Q17938,0.891
865,Q9XW61,0.891
470,Q9U2F2,0.891
525,P49404,0.891
779,O61847,0.891
645,P90829,0.891
264,P91266,0.890
614,Q95Q25,0.890
451,Q19825,0.890
797,Q9U357,0.890
825,Q9U9J8,0.889
205,Q17389,0.889
172,O44995,0.889
857,Q21053,0.889
2154,H2KYI5,0.889
1816,Q22018,0.889
612,P91402,0.888
1079,Q9N4K2,0.888
1172,P42170,0.888
876,Q10914,0.887
515,P53013,0.887
970,P52018,0.887
971,P52018,0.887
865,Q95QE8,0.887
993,P41877,0.886
867,P52018,0.886
868,P92186,0.886
875,P52018,0.886
515,Q22856,0.886
158,Q95X44,0.886
2235,H2KZ19,0.886
175,P52009,0.886
1079,Q22031,0.885
1816,P30648,0.885
196,P91424,0.885
2290,O45818,0.885
607,Q8MXI4,0.885
2154,P50432,0.885
612,P91266,0.885
825,Q8MQA1,0.885
797,O62251,0.885
262,Q9U1Q4,0.885
441,P52009,0.884
619,O44408,0.884
1242,O16315,0.884
178,Q9NEW6,0.884
515,Q19523,0.884
811,G5EBX8,0.884
604,P14585,0.884
224,Q21086,0.884
929,O02225,0.883
149,Q23384,0.883
525,Q966G8,0.883
1117,G5ECB5,0.883
564,Q20414,0.883
564,G5EDR3,0.882
743,P49404,0.882
175,P52015,0.882
857,O62332,0.882
825,Q17389,0.882
875,Q18445,0.882
1148,Q19004,0.882
447,Q9N3X2,0.881
797,P53589,0.881
499,Q22856,0.881
499,Q20352,0.881
205,Q93725,0.881
441,P52015,0.881
602,Q17499,0.881
451,G5EBI4,0.881
262,O16700,0.880
262,Q9NAB4,0.880
262,Q21693,0.880
262,O17762,0.880
262,Q20751,0.880
262,Q22820,0.880
262,O45115,0.880
604,Q20100,0.880
238,H2KZY5,0.880
701,Q9U2J6,0.880
929,P34497,0.880
604,Q20414,0.879
1101,Q95YB2,0.879
179,P52018,0.879
779,Q18898,0.879
515,Q95Q25,0.879
205,Q5WRS4,0.879
196,Q966I6,0.879
619,P91424,0.879
1117,Q22967,0.878
499,Q22620,0.878
525,O61847,0.878
614,Q93725,0.878
515,P90994,0.877
825,Q23511,0.877
929,Q95QD6,0.877
70,P91402,0.877
504,O01806,0.877
196,Q17446,0.877
197,Q20697,0.877
779,Q20414,0.876
929,P34346,0.876
736,Q21944,0.876
779,P34642,0.876
453,Q9U2F2,0.876
2154,Q9U221,0.876
607,P91424,0.876
970,P52009,0.876
971,P52009,0.876
984,O02151,0.875
824,P90838,0.875
867,P52009,0.875
732,H2KYP7,0.874
875,P52009,0.874
451,Q09440,0.874
825,Q93725,0.874
149,Q19825,0.874
865,P34712,0.874
2290,Q19266,0.874
239,H2KZK7,0.874
499,Q95Q25,0.874
2154,Q95QQ4,0.874
929,Q9U307,0.873
1079,Q7JMA9,0.873
876,P34299,0.872
929,Q20122,0.871
