chemical_cid,uniport_accession
5287844,Q8T7Z0
68841,Q9XXC0
44263483,Q9N5U1
679,Q9UAV5
3100,Q86ME6
2913,Q86ME6
753,Q86MI3
753,Q9N357
867,Q20230
5288834,G5ECQ8
3337,Q86ME6
5709,Q86ME6
6102781,Q93332
980,Q9N384
447371,Q9TYQ8
62452,Q965W1
446696,P90829
9821178,Q9N2V9
444695,Q9TZB1
3561,Q86ME6
33032,Q93332
4369359,Q7JKY3
4926,Q86ME6
5957,Q19826
5957,Q19749
5330812,Q9XXC0
12587,Q9XXD8
753,Q19849
5326739,Q9XXC0
72886,Q9N4M0
753,Q93168
1567,Q9N384
888,Q95XC4
23994,Q966I0
3038525,Q9XXC0
447958,Q9XXC0
753,Q9XXC0
5288834,P19826
24851689,Q9XXC0
6603746,Q9N2V9
23994,Q20206
11915,B1GRK5
888,Q9XWZ3
8064,Q22120
6102690,Q966I0
5957,Q9XXC0
888,Q8I111
2396,Q9XXC0
11963557,Q9XXC0
23994,O16999
888,Q9XWZ3
888,Q21275
5288834,P34434
2170,Q86ME6
1175,Q960A1
17754204,Q9N599
1175,Q9N5U1
3151,Q86ME6
445779,Q17474
448043,O01583
6862,A7WK41
4184,Q86ME6
753,Q9U2M5
679,Q10914
5288834,G5EBX9
3151,Q86ME6
68841,Q09345
23994,Q9XVK5
753,Q21122
23994,Q17765
1547484,Q86ME6
379,Q9N5Z3
5957,G5EDI8
23727981,Q9XXC0
753,Q20660
4205,Q9N3C7
449005,Q9N5E4
9934347,Q9TZM3
888,O44175
23994,Q9BL46
5287779,G5EBT9
24180585,Q7JKY3
5288834,P53795
753,P41938
9817381,Q20829
5289085,Q9TZ33
2160,Q86ME6
11314340,Q9XXC0
67361,Q86ME6
1567,Q18268
888,Q94272
753,Q960A1
4708,B5BM27
643975,Q93615
753,Q9N5R9
5957,Q09615
753,Q95XC4
148140,Q09525
888,Q9XWZ3
30819,Q9N3S5
888,Q18678
5329102,Q9XXC0
440552,Q21801
448580,Q9TZ33
643975,P41956
33032,Q93332
124087,Q86ME6
3062316,Q9XXC0
23994,Q21773
5957,Q965S0
23925,O16453
447961,Q9XXC0
124886,Q966G8
8172,Q09306
5957,Q9Y1J3
123631,Q9XXC0
11524144,Q9XXC0
2771,Q9N3C7
4184,Q86ME6
30819,Q968Y9
24905143,Q9N3S5
4926,Q86ME6
15942658,O01815
5287600,H2KYW1
107971,Q9TXM0
753,Q93332
2818,Q86ME6
17754162,Q965S2
888,O62433
5951796,P34638
11840927,Q19842
165339,Q09995
23994,Q9XXI7
449125,Q9TZB1
2726,Q86ME6
6005,Q86ME6
888,Q965S0
1051,Q21080
6914612,Q20829
6726,Q86ME6
753,Q9U299
5171,Q9XXC0
2913,Q86ME6
5533,Q86ME6
888,Q8WQF3
2585,Q9N3C7
753,G5EDB7
23994,Q9XXC0
159596,O44502
1567,Q8WQF3
