P02775	Gene::5473	2007
P49908	Gene::6414	2081
Q96L12	Gene::125972	24733
P30996	Gene::drugbank:BE0009356	25021
P42345	Gene::2475	904
Q15185	Gene::10728	1421
P15555	Gene::drugbank:BE0001349	20688
Q7SIA5	Gene::drugbank:BE0004387	23785
P21453	Gene::1901	10113
Q9Y2J8	Gene::11240	1723
O75385	Gene::8408	24907
Q15120	Gene::5165	1050
P05106	Gene::3690	144
Q9BUP3	Gene::10553	24714
A0A0H3K1U2	Gene::drugbank:BE0002695	21349
P00136	Gene::drugbank:BE0003056	22448
Q9BYV1	Gene::64902	1455
P14625	Gene::7184	303
P37268	Gene::2222	11021
P27958	Gene::drugbank:BE0003935	24574
P04217	Gene::1	1620
P10636	Gene::4137	125
P15085	Gene::1357	1865
P39023	Gene::6122	89
P04196	Gene::3273	29873
P09382	Gene::3956	732
O95363	Gene::10667	1665
P06632	Gene::drugbank:BE0002618	22566
Q16878	Gene::1036	1906
P08697	Gene::5345	395
P69905	Gene::3040	252
P00558	Gene::5230	458
Q92570	Gene::8013	900
Q96QU6	Gene::84680	1992
P20292	Gene::241	945
O43293	Gene::1613	1258
P36969	Gene::2879	447
Q01693	Gene::drugbank:BE0001395	21260
P04278	Gene::6462	233
Q9S400	Gene::drugbank:BE0001759	23199
P50750	Gene::1025	67
P01009	Gene::5265	621
O14841	Gene::26873	1622
Q2TU84	Gene::drugbank:BE0002152	20567
Q84FH6	Gene::drugbank:BE0002709	21481
P55263	Gene::132	1739
P23945	Gene::2492	1446
Q9UEE5	Gene::9263	14047
Q15418	Gene::6195	31
P22894	Gene::4317	1755
O60513	Gene::8702	1839
P54819	Gene::204	778
Q99759	Gene::4215	24937
Q9UJT1	Gene::51174	1272
P05193	Gene::drugbank:BE0001444	20658
P04637	Gene::7157	36
P00953	Gene::drugbank:BE0001343	20588
Q15842	Gene::3764	1849
P35247	Gene::6441	950
P16581	Gene::6401	1659
Q92696	Gene::5875	1275
Q9UJ68	Gene::4482	2202
Q99735	Gene::4258	1496
P40259	Gene::974	14777
O00303	Gene::8665	1224
P18283	Gene::2877	2063
P28074	Gene::5693	1546
P07919	Gene::7388	204
Q8IYT8	Gene::9706	24908
Q8RJN5	Gene::drugbank:BE0002500	20912
P00491	Gene::4860	2058
Q9BYZ2	Gene::92483	974
P0DP23	Gene::808	24728
A9JQL9	Gene::drugbank:BE0003866	23433
Q9UE69	Gene::drugbank:BE0005582	20665
O43704	Gene::27284	1719
Q13427	Gene::9360	2157
Q840M4	Gene::drugbank:BE0002831	20854
P05893	Gene::drugbank:BE0002726	21592
Q7Z2H8	Gene::206358	2196
P01189	Gene::5443	1428
P62136	Gene::5499	626
Q8VUS8	Gene::drugbank:BE0004357	24579
P05121	Gene::5054	389
P00183	Gene::drugbank:BE0001246	20795
P26662	Gene::drugbank:BE0001245	20960
P09110	Gene::30	935
Q75N90	Gene::84467	24724
P63027	Gene::6844	11553
Q00537	Gene::5128	11905
O43766	Gene::11019	1760
Q03403	Gene::7032	1964
P11597	Gene::1071	2060
P02763	Gene::5004	692
P15086	Gene::1360	3839
P53420	Gene::1286	12343
Q9UHA3	Gene::51187	2104
P24046	Gene::2569	309
P22266	Gene::drugbank:BE0001897	22040
Q92569	Gene::8503	964
P05062	Gene::229	548
P33247	Gene::drugbank:BE0001553	21432
P30291	Gene::7465	907
Q06110	Gene::drugbank:BE0001994	22885
O60701	Gene::7358	286
P06276	Gene::590	1192
P52848	Gene::3340	2083
Q57366	Gene::drugbank:BE0001485	21446
P08217	Gene::63036	4514
Q969G6	Gene::55312	2095
P11086	Gene::5409	1086
P29401	Gene::7086	459
P19909	Gene::drugbank:BE0004090	23293
P00505	Gene::2806	645
P14920	Gene::1610	473
P07510	Gene::1146	1995
P07173	Gene::drugbank:BE0003849	23042
P09874	Gene::142	791
P63244	Gene::10399	56
Q99640	Gene::9088	24963
Q9ZLT0	Gene::drugbank:BE0004383	24616
Q53707	Gene::drugbank:BE0003618	20673
Q9UDR5	Gene::10157	917
P0C188	Gene::drugbank:BE0002072	22558
P50870	Gene::drugbank:BE0001238	20898
P28072	Gene::5694	1352
P02774	Gene::2638	932
P30405	Gene::10105	1146
Q14571	Gene::3709	9600
P61769	Gene::567	1295
Q9UJ70	Gene::55577	1134
P03366	Gene::drugbank:BE0002050	20969
P19404	Gene::4729	227
Q06033	Gene::3699	2019
P06729	Gene::914	10795
Q9ZIV5	Gene::drugbank:BE0002702	21448
P08319	Gene::127	1782
Q08188	Gene::7053	689
Q00169	Gene::5306	1216
P60880	Gene::6616	10164
Q56691	Gene::drugbank:BE0002629	22364
P78368	Gene::1455	1265
P28222	Gene::3351	2163
Q04844	Gene::1145	1996
Q9Y257	Gene::9424	3786
P83787	Gene::drugbank:BE0002930	23136
P83793	Gene::drugbank:BE0003905	23407
P01023	Gene::2	171
P05231	Gene::3569	1754
Q9ULD8	Gene::23416	12394
P62330	Gene::382	440
P40763	Gene::6774	145
P35520	Gene::875	1450
P48029	Gene::6535	1548
Q02928	Gene::1579	2101
Q06124	Gene::5781	784
O60285	Gene::9891	12677
P36924	Gene::drugbank:BE0001847	21653
P27696	Gene::drugbank:BE0001531	21275
Q9NSA0	Gene::55867	3467
Q9UI33	Gene::11280	5729
Q13523	Gene::8899	24965
P22102	Gene::2618	1909
Q16719	Gene::8942	1638
O75865	Gene::79090	1075
P45984	Gene::5601	870
Q9F6D4	Gene::drugbank:BE0002680	21294
P16219	Gene::35	2087
P27816	Gene::4134	1415
P14210	Gene::3082	393
Q99456	Gene::3859	2330
P00750	Gene::5327	391
P81006	Gene::drugbank:BE0001775	22798
P09525	Gene::307	2188
Q8NEB9	Gene::5289	1835
O43570	Gene::771	1578
Q7LG56	Gene::50484	1447
Q9TQE0	Gene::3123	13322
P68344	Gene::drugbank:BE0000712	20739
Q9NYY3	Gene::10769	12693
Q16478	Gene::2901	1071
Q9UNX3	Gene::51121	37
Q8VVD2	Gene::drugbank:BE0002819	21940
O14649	Gene::3777	1862
P04229	Gene::3123	13322
P55407	Gene::962574	63539
A0A0H3JRU9	Gene::drugbank:BE0003966	24043
P0C0Y7	Gene::drugbank:BE0003954	23038
P80529	Gene::drugbank:BE0009630	24985
P40306	Gene::5699	1847
Q00987	Gene::4193	647
Q96Q83	Gene::221120	572
Q13621	Gene::6557	2231
P71278	Gene::drugbank:BE0002499	20908
O14556	Gene::26330	1814
Q5L478	Gene::drugbank:BE0008651	24658
O60894	Gene::10267	1900
Q96NX5	Gene::57172	1027
P07358	Gene::732	1487
P43004	Gene::6506	1293
P78352	Gene::1742	536
P05364	Gene::drugbank:BE0001430	21412
Q9X2W8	Gene::drugbank:BE0003205	22975
P31323	Gene::5577	310
P43403	Gene::7535	1326
Q6NSD4	Gene::drugbank:BE0002287	20586
P48552	Gene::8204	873
P80188	Gene::3934	1361
Q14003	Gene::3748	2344
P25910	Gene::drugbank:BE0001212	21856
Q9BYF1	Gene::59272	1943
Q9GV41	Gene::drugbank:BE0003121	22562
P42685	Gene::2444	1727
P13761	Gene::3123	13322
P02747	Gene::714	2109
Q9H4Y5	Gene::119391	1137
P02768	Gene::213	604
P00947	Gene::drugbank:BE0001607	20849
P41594	Gene::2915	2002
P48664	Gene::6511	4602
P30411	Gene::624	973
P80192	Gene::4293	2289
P31415	Gene::844	24721
Q9UJM8	Gene::54363	3917
